I	I:1	II	II:1	II:1(a)	II:1(b)	II:2	II:3	III	III:1	III:2	III:4	III:5	III:7	IV	IX	IX:2	V	V:1	V:2	V:3	V:3(a)	V:4	V:5	V:6	V:7	VI	VI:1	VI:2	VI:2(a)	VI:2(b)	VI:3	VI:5(a)	VI:6	VII	VII:1	VII:2	VII:5	VIII	VIII:1	VIII:3	VIII:4	X	X:1	X:2	X:3	X:3(a)	XI	XI:1	XIII	XIII:1	XIII:2	XIII:3(b)	XIX	XIX:1	XIX:2	XIX:3	XV	XVI	XVI:1	XVI:4	XVII	XVII:1	XVII:1(c)	XVIII	XVIII:10	XVIII:11	XX	XXI	XXII	XXII:1	XXIII	XXIII:1	XXIII:1(a)	XXIII:1(b)	XXIV	XXIV:12	XXIV:5(b)	XXIV:6	XXVIII
0.2681246	0.6665727	0.16966344	0.68246	0.040692534	0.34860143	0.0037359083	0.014843561	0.25082877	0.05900443	0.7593155	0.8985646	0.15574402	9.3469454e-05	0.00027498743	0.00011164936	0.0148981465	4.4192348e-07	9.085941e-07	2.8468434e-05	8.434029e-06	8.434029e-06	6.088273e-06	4.025079e-07	1.7343664e-05	0.0002706293	0.2958777	0.07510802	0.057315007	0.057315007	0.057315007	0.33878163	5.5256216e-05	0.04106707	0.19243066	0.07680403	0.018860558	0.019583791	0.39317295	0.007351295	1.3646876e-05	0.016324822	0.78786284	0.41858077	0.049818717	0.6580946	0.6185598	0.4095836	0.8159979	0.023066306	0.34078598	0.012025851	4.212877e-05	0.00059684966	0.03161117	0.0012169175	0.00015513615	2.5999498e-05	0.005789376	0.0026712625	9.2112576e-05	0.016183995	0.0077212155	2.6658972e-05	1.2018517e-05	3.3599514e-05	0.0043500294	0.07416984	5.4460117e-05	0.0003811055	0.0032347054	0.001116913	0.0035808198	0.0017548667	0.01003802	0.0020856548	0.00043501848	7.0937804e-06	5.7499565e-05	0.03909639
0.24888916	0.35714534	0.18826492	0.067243405	0.0046010083	0.013726211	0.03566655	0.0008180451	0.23176336	0.027676543	0.09743985	0.52661204	0.104056984	0.0006416295	0.001985012	0.0019043175	0.012938024	5.9541458e-06	1.3984028e-05	0.0002933457	9.432481e-05	9.432481e-05	5.8657733e-05	3.9529637e-06	0.00021100332	0.0009804757	0.103174545	0.006335295	0.0023614867	0.0023614867	0.0023614867	0.049976144	0.00037219885	0.004593009	0.015327973	0.0027786803	0.0014148598	0.00063733035	0.044025723	0.0061020837	9.8082666e-05	0.0045691254	0.14870447	0.014573372	0.0015908503	0.06573487	0.03226365	0.27918857	0.29651916	0.090473056	0.025482342	0.038153253	0.0005013508	0.05706782	0.09713013	0.032812696	0.0072486545	0.0007889125	0.10972843	0.015526948	0.0015642695	0.05850797	0.023698907	0.00039727578	0.00016531038	0.0003467471	0.016044317	0.05467648	0.00044170217	0.014449646	0.051201034	0.058590632	0.06666506	0.018941589	0.072047226	0.03689238	0.0023621607	7.240125e-05	0.000539701	0.0857263
0.05765899	0.19737801	0.025654199	0.005490079	0.0006125698	0.002251633	0.00012808084	0.00044089532	0.008313789	0.0005974729	0.011306257	0.72908473	0.0016497798	4.886121e-06	1.4377402e-05	8.012705e-06	0.0001835548	2.998533e-08	7.334713e-08	1.4880902e-06	3.281836e-07	3.281836e-07	3.182382e-07	2.1039211e-08	1.0998497e-06	1.4149511e-05	0.9645881	0.029588314	0.010026872	0.010026872	0.010026872	0.19422293	2.888401e-06	0.003202652	0.0016363513	0.00095272175	0.0005723856	0.00046179447	0.0021329983	9.829586e-05	7.1333386e-07	0.00047104506	0.118769474	0.008373086	0.00088733895	0.09242963	0.0071088234	0.050772417	0.08037694	0.007397501	0.0017169504	0.0002533174	2.6221262e-06	0.00038242733	0.0015972279	0.00015991634	3.7524595e-05	2.9405364e-06	0.003313805	0.00020373386	8.323005e-06	0.0005176098	0.00019553202	1.5787625e-06	8.938681e-07	1.7563154e-06	0.00018642884	0.0009965611	2.8468035e-06	2.4463841e-05	0.0003715604	0.0007012572	0.0014023734	9.8075834e-05	0.00081498886	0.00026763434	1.8820489e-05	3.7079565e-07	3.0056765e-06	0.0011930708
0.86826044	0.9141805	0.8401169	0.23415276	0.017196586	0.0547557	0.07666124	0.0022436322	0.85418373	0.13182959	0.33938915	0.91762894	0.4134187	4.6423327e-05	0.00018503034	0.00039615977	0.067687124	7.453507e-07	6.581638e-07	5.634169e-05	2.370524e-05	2.370524e-05	3.849565e-06	2.1721713e-07	2.7719274e-05	8.5243606e-05	0.026977597	0.00089664286	0.0004731236	0.0004731236	0.0004731236	0.0072533158	6.811253e-05	0.0018278352	0.056996018	0.010028084	0.004095759	0.0016712649	0.1549911	0.028878467	2.307874e-05	0.014338621	0.1961161	0.044494815	0.004606908	0.05004599	0.11974234	0.8916618	0.6716772	0.72488683	0.094345465	0.14187562	4.5189678e-05	0.098804876	0.60548156	0.035539094	0.00036832038	0.00014942464	0.52558845	0.017471798	0.00014895292	0.25882125	0.072957225	8.237979e-05	8.1088565e-06	6.95544e-05	0.0402781	0.23732018	3.0468185e-05	0.01029002	0.19651233	0.1675128	0.41327024	0.024688842	0.4639733	0.051579893	0.0010800585	8.824465e-06	1.7639342e-05	0.5114757
0.91592556	0.96505886	0.8586808	0.030435909	0.0007022256	0.005122431	0.0003799447	0.00017372526	0.6334149	0.0018027356	0.04505699	0.9625406	0.022683201	1.2111783e-06	3.5364203e-06	3.423732e-06	0.0003790377	1.1142725e-08	1.472448e-08	6.243707e-07	1.7800205e-07	1.7800205e-07	7.852056e-08	4.8595656e-09	3.699458e-07	3.2227194e-06	0.0963601	0.00017812314	0.00018983938	0.00018983938	0.00018983938	0.003754504	8.5905424e-07	9.409447e-05	0.0046910397	0.0008469038	0.00024531686	0.0002127165	0.019047135	0.00013651974	2.6965543e-07	0.00029004386	0.020005563	0.0038814482	0.00054442236	0.004388983	0.011254596	0.93725204	0.14616421	0.2772333	0.010907641	0.0007548738	7.435162e-07	0.009608708	0.02343411	0.00033022166	7.9783385e-06	1.2259369e-06	0.08642359	0.00011787052	2.178697e-06	0.0016007922	0.00035871082	7.345695e-07	1.814128e-07	7.4679645e-07	0.00018124848	0.0036196003	7.491261e-07	6.962142e-05	0.003723824	0.017841067	0.055160966	0.00011432606	0.011632791	0.00037953016	8.402149e-06	1.2988627e-07	5.6112316e-07	0.009271972
0.93288404	0.96759295	0.8332977	0.20154004	0.0021479495	0.039754603	0.0017224483	0.00025446797	0.9477734	0.008238154	0.27504086	0.9633858	0.116044655	1.3531811e-06	3.951038e-06	4.405968e-06	0.0017790266	1.24491155e-08	1.6450834e-08	6.9757283e-07	2.6354556e-07	2.6354556e-07	8.7726605e-08	5.4293086e-09	4.133204e-07	3.600565e-06	0.016400555	0.00019290834	0.0002055971	0.0002055971	0.0002055971	0.0073502995	9.597746e-07	0.000101905636	0.01380201	0.0038634075	0.00040532256	0.0003288469	0.10826639	0.00055090926	3.0127023e-07	0.0005882636	0.14100006	0.030379763	0.001228012	0.034233034	0.083851345	0.9652635	0.5792072	0.24882913	0.07944116	0.0038185767	8.3068863e-07	0.006718412	0.12538289	0.0014627165	8.9137575e-06	1.6614496e-06	0.059296228	0.00021781694	2.434128e-06	0.0075968592	0.0015595744	9.159194e-07	2.0268193e-07	8.3435515e-07	0.0005549949	0.016709138	8.369547e-07	0.0003720201	0.014534105	0.0134010175	0.047998406	0.00045949794	0.052222088	0.0012161888	1.2020201e-05	1.451149e-07	6.269101e-07	0.051952496
0.9404031	0.964084	0.86908793	0.022318527	0.00038665364	0.0037302792	0.00026971666	9.755248e-05	0.6235228	0.0012802619	0.03317349	0.9657962	0.01620738	6.880875e-07	2.0090922e-06	1.9450704e-06	0.000269073	6.330336e-09	8.365181e-09	3.547144e-07	1.01125536e-07	1.01125536e-07	4.46087e-08	2.7607863e-09	2.1017136e-07	1.8308739e-06	0.073321134	0.00010002203	0.00010660184	0.00010660184	0.00010660184	0.0029179356	4.8804077e-07	5.283536e-05	0.002472174	0.00062609604	0.00013775798	0.00011944938	0.015787214	9.5727504e-05	1.53195e-07	0.0001647984	0.014628023	0.002825618	0.00032690357	0.0033815324	0.008209639	0.93901736	0.11070578	0.28659165	0.00884524	0.00053593074	4.2240276e-07	0.010058795	0.01674757	0.00023441591	4.532616e-06	6.96472e-07	0.090144195	6.696709e-05	1.2377456e-06	0.0011367796	0.000254642	4.1731843e-07	1.03063236e-07	4.2426635e-07	9.6437674e-05	0.0025719174	4.2558824e-07	4.941878e-05	0.0026460486	0.016663117	0.05762055	8.665569e-05	0.008284998	0.00021144479	4.7733993e-06	7.379026e-08	3.187819e-07	0.0065990617
0.9524565	0.9413426	0.948389	0.2941343	0.00984802	0.06397458	0.014546444	0.0010915847	0.94199437	0.07202332	0.38511625	0.93037933	0.53134847	5.4675866e-06	2.179491e-05	4.1166048e-05	0.01637937	7.742391e-08	6.408209e-08	5.852842e-06	2.4624544e-06	2.4624544e-06	3.9987788e-07	2.114925e-08	2.8794377e-06	1.0040056e-05	0.009583963	0.00034523115	0.00036793435	0.00036793435	0.00036793435	0.007549445	7.417587e-06	0.00021561507	0.056679457	0.011126456	0.001737839	0.0014102968	0.22648598	0.0051239184	2.3973732e-06	0.0029262435	0.21320687	0.04918077	0.0051145637	0.055282768	0.13126425	0.9480005	0.6944119	0.60492	0.14008163	0.03457755	4.694311e-06	0.021506075	0.34079507	0.0050592953	4.3391807e-05	1.5523705e-05	0.18646047	0.0020315023	1.5474663e-05	0.066750854	0.014384816	8.557903e-06	7.895238e-07	7.2254866e-06	0.0051617483	0.1370208	3.5883957e-06	0.0017639584	0.043001827	0.042230073	0.18035905	0.004276964	0.14374146	0.0057788463	0.00011230058	9.16657e-07	1.9472309e-06	0.28466934
0.9429587	0.9229089	0.9369862	0.23465435	0.016979769	0.047880515	0.034989815	0.0018344189	0.92460537	0.12912351	0.31546012	0.9088339	0.5736654	9.985332e-06	3.980306e-05	9.601475e-05	0.03738887	1.8059114e-07	1.2630353e-07	1.365164e-05	5.7436687e-06	5.7436687e-06	9.327167e-07	4.2102442e-08	6.7162587e-06	1.8335844e-05	0.015867803	0.0005326647	0.00030630818	0.00030630818	0.00030630818	0.0054698917	1.4650807e-05	0.0003937047	0.05462174	0.008210742	0.0031692404	0.0013662995	0.17725062	0.01187052	5.5918626e-06	0.0053312774	0.16623785	0.036662567	0.0037682801	0.041278865	0.100051574	0.9315068	0.62574404	0.7718173	0.10703067	0.07709988	1.0949426e-05	0.049694832	0.5500894	0.012336461	7.924309e-05	3.6208272e-05	0.35149843	0.0038101838	3.3910408e-05	0.14297907	0.0329216	1.9961088e-05	1.7858985e-06	1.6853292e-05	0.011957549	0.23560403	6.5534173e-06	0.0043217856	0.09487036	0.09442556	0.33985734	0.009919499	0.28081304	0.01407638	0.0002450632	2.1381004e-06	3.207897e-06	0.4898598
0.72135174	0.7284249	0.7009598	0.33675474	0.031203458	0.08840364	0.20652322	0.004676826	0.6369378	0.19352035	0.41097155	0.74051106	0.33815464	0.000866132	0.003471652	0.010115361	0.14444174	6.387852e-05	2.4373441e-05	0.0019831953	0.0014265941	0.0014265941	0.00012618727	1.0580244e-05	0.001074143	0.0014968514	0.0073359446	0.0006533166	0.00067310967	0.00067310967	0.00067310967	0.009022897	0.0012516809	0.004230354	0.09785513	0.01904629	0.008589699	0.003408628	0.2429423	0.08667677	0.00058943266	0.030879913	0.18343969	0.082747765	0.00931622	0.07113831	0.1885167	0.69535625	0.5056296	0.67669684	0.15412435	0.20687695	0.0011991789	0.533702	0.46134666	0.23367275	0.0021174215	0.0035596122	0.6629607	0.07686163	0.0023459117	0.23194301	0.1644038	0.0036924216	0.00019304946	0.002126792	0.112469114	0.2393696	0.0005698267	0.13527086	0.42144114	0.61010957	0.6776236	0.1346711	0.46409053	0.18517637	0.020506587	0.00040506726	0.00028085796	0.3550912
